NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct recall,number of False recall,Present Recall,Past Recall,Other Recall,Positive Present Recall,Positive Past Recall,Positive Other Recall,Neg Present Recall,Neg Past Recall,Neg Other Recall,Neutral Present Recall,Neutral Past Recall,Neutral Other Recall
42,339,kout2759,79326,2,18,f,1,,6716,1,0,klug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
43,343,KLAR2870,79347,1,22,f,1,,239248,18,0,klug,intellektuell,kurz,winzig,klein,still,introvertiert,zahm,zaertlich,haesslich,schlecht,gut,dumm,unvorhersehbar,durchschnittlich,unueblich,gemuetlich,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,18,0,6,6,6,1,2,2,2,1,1,3,3,3
44,186,AILO0658,77553,3,22,f,1,,17175,4,0,kurz,intelligent,introvertiert,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,1,1,1,1,0,0,0,0,0,1,1,1,0
45,213,HÖAF2269,77908,4,19,f,1,,199616,11,0,bildschoen,opportunistisch,talentiert,stolz,heftig,geliebt,wuetend,unbeirrbar,verletzlich,eigensinnig,strebsam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,9,2,1,3,5,1,1,1,0,0,1,0,2,3
46,124,TSRI2757,77285,2,34,f,1,,230291,11,0,kurz,winzig,beschaulich,intellektuell,unvorhersehbar,asozial,klein,aengstlich,theatralisch,ungewoehnlich,still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,9,2,4,2,3,1,0,0,0,0,1,3,2,2
47,227,MOAR1870,78520,4,27,f,1,,108745,7,0,lieblos,opportunistisch,leidenschaftlich,verletzt,heftig,herzlos,verehrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,1,1,5,1,0,1,0,1,2,0,0,2
48,235,FREL1864,78843,5,22,f,1,,171166,17,0,froehlich,fromm,religioes,wuetend,selbstzufrieden,unsicher,lieblos,warmherzig,individualistisch,opportunistisch,impulsiv,bildschoen,bewundert,intelligent,aufgeweckt,egoistisch,traurig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,15,2,6,5,4,2,1,2,2,2,0,2,2,2
49,318,GAUS0571,79162,3,18,m,1,,145374,14,0,klein,winzig,pessimistisch,hoffnungsvoll,haesslich,loyal,entstellt,zahm,zaertlich,ehrlich,gemuetlich,still,ruhig,kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,4,3,7,1,1,3,1,1,1,2,1,3
50,228,GAIA2170,78527,1,19,f,1,,miss,17,0,haesslich,winzig,klug,intellektuell,introvertiert,beschaulich,klein,behindert,krank,ungesund,sympathisch,optimistisch,fortschrittlich,dumm,ungewoehnlich,ruhig,mutig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,15,2,3,7,5,0,2,3,1,2,2,2,3,0
51,319,SIAN0269,79165,2,18,f,1,,69960,6,0,kurz,schuechtern,haesslich,klug,unvorhersehbar,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,5,0,1,1,0,0,1,0,0,3,0
52,320,KIN0968,79169,5,25,f,1,,60712,5,0,froehlich,nett,klug,intelligent,herzlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,3,2,0,0,2,0,0,0,0,0,0,0,0
