subj_counter_global,PreNegRe,PreNegRT,PreNeuRe,PreNeuRT,PrePosRe,PrePosRT,PasNegRe,PasNegRT,PasNeuRe,PasNeuRT,PasPosRe,PasPosRT,OthNegRe,OthNegRT,OthNeuRe,OthNeuRT,OthPosRe,OthPosRT
123,2.25,21760.25,3.16666666666667,18929.6666666667,4.2,10183,2,10642.4,4,10666,4,15988.6666666667,2.16666666666667,20409.8333333333,4,7303.8,3.75,12659
124,1,2721.2,2.33333333333333,3802.5,4,2343,2,3594.4,3.2,3661.2,3.6,2719.2,2.6,3115,3,1860,3.16666666666667,3798.66666666667
129,1.4,4591,3.6,7672.8,4,7282.4,1,4474.4,3.25,4773,4.66666666666667,4583.16666666667,1,4107.8,2.83333333333333,4277.5,3.75,5417
130,3,3400.25,3.14285714285714,4364.85714285714,3.5,4052.5,3.5,4334,3.2,4940,2.16666666666667,3572.66666666667,1.71428571428571,3732.71428571429,2.66666666666667,3295.33333333333,3.4,2952.8
131,1.6,2642,3,2241.33333333333,3.57142857142857,3140.71428571429,2.4,4475,4.5,4062.5,3.66666666666667,4124.66666666667,1.4,2448.6,3.25,2460.75,4,2123
132,1.57142857142857,3111.42857142857,3,3160.5,3.5,4255,2.5,3799.66666666667,3,4796.5,3.4,5745.2,1,1807,3.4,5502,4.625,8802.5
133,4.33333333333333,9694.33333333333,3.375,5174.875,2.75,8155.75,3.71428571428571,10555.7142857143,3.5,2501,1.75,3189.25,1.4,7788.6,2.66666666666667,9459.66666666667,4.14285714285714,11915.4285714286
135,1.4,4317,2.8,4071,4,3864.4,1.28571428571429,4283,2.4,5295.2,2.66666666666667,3589.66666666667,2.66666666666667,3641.66666666667,2.2,3155.6,2.28571428571429,3516
139,1.28571428571429,2670.14285714286,2.2,2363.2,4.33333333333333,1787.33333333333,1.5,1577,2.83333333333333,1640.16666666667,3.14285714285714,1918,1.33333333333333,1808.5,2.5,2017.75,3.2,1922.2
142,2.25,6695,2.8,5513.6,3.33333333333333,4797.66666666667,2.75,8397.25,3.5,4800.33333333333,2.2,5866,1.28571428571429,5049.71428571429,4.5,4486.75,4.5,5006.5
144,4.5,1958.25,2.66666666666667,1821.66666666667,1.4,1345.4,4.14285714285714,1587.14285714286,4,1679,2.8,1629.6,1,2030.25,2,2871.66666666667,4.2,1669.4
146,2.66666666666667,9830.33333333333,3.42857142857143,7511.28571428571,3.8,7956.4,2,11952.2,3.66666666666667,5395.16666666667,3.75,10552.5,1.85714285714286,5014.42857142857,2,4213,3.33333333333333,5504.66666666667
149,2,3823.2,2.5,3096.75,4.16666666666667,3174.16666666667,2.25,4204,3.66666666666667,2891.5,3.2,3058.4,2.33333333333333,3170.33333333333,2.2,2622,4,2949.75
150,1.33333333333333,5125.33333333333,3,4669.75,3.75,6305,2.28571428571429,5388.85714285714,4,4636,3.5,4475,2.8,8124,2.4,3519.4,3.2,3010
153,1.85714285714286,2524.42857142857,3.66666666666667,2916.33333333333,4.8,1763.6,2.66666666666667,2574.16666666667,4.2,2925,4,2834,2,2016.5,2.71428571428571,2205,4.16666666666667,2493
155,1.8,2893.8,3.57142857142857,3684.14285714286,3.66666666666667,2670.33333333333,4.33333333333333,3109.66666666667,2.75,2335.25,2.8,2574.2,1.75,2916.75,3.5,3366.25,4.14285714285714,2493.42857142857
160,3.33333333333333,3681.16666666667,1.5,4201.5,2.85714285714286,4894.14285714286,1.66666666666667,3095.66666666667,3.28571428571429,5455.14285714286,3.6,5056.2,1.5,3890.66666666667,2.66666666666667,5032.33333333333,4,3673.33333333333
161,2,4529.66666666667,1.85714285714286,7991.42857142857,4.5,2004,2.33333333333333,4048,3.66666666666667,3992.66666666667,3.66666666666667,21265.6666666667,1.83333333333333,3547.5,2.6,3948.4,2,3471
163,2.6,5052.8,3.5,6526.5,4.66666666666667,3384.33333333333,3.8,5293.8,3,4295,3.25,5979,2,5690,3.2,5049.2,4.2,3578.2
170,1.42857142857143,4161.71428571429,2.5,4231.5,3.16666666666667,4310.5,1.8,4675.8,3.16666666666667,3872.33333333333,2.75,4458.75,2,3927,1.28571428571429,3233.57142857143,3.6,3955.6
171,2.4,10485.4,2.66666666666667,30999.3333333333,3.75,22422.5,1.33333333333333,37508,2.16666666666667,29328.1666666667,3.16666666666667,16902.1666666667,1.57142857142857,5042.85714285714,2.66666666666667,6387,3.4,24101.6
173,1.75,4001.75,3,2404.75,4.28571428571429,2959.14285714286,2,3014.33333333333,3.2,2953.6,3.75,3545.5,1.4,4258,3,2538.66666666667,4.25,2523.75
175,2.5,6750.16666666667,3.75,3843.5,3.8,8807.4,2.2,6233.6,3.33333333333333,17436.5,3.5,4115.25,2,4459.5,3.2,3172.6,3.66666666666667,4981.16666666667
177,3.25,3358.25,3,3940,2.16666666666667,2007.66666666667,1.83333333333333,3841.66666666667,3.4,2800,3.25,2865.25,1.2,2188.8,2.8,2579.8,4,1973
181,1.75,7120.25,3.4,8909.4,4.33333333333333,8688.16666666667,3.4,8114.4,3.57142857142857,4918.57142857143,4,8816.66666666667,3.16666666666667,8597.33333333333,4,7598.66666666667,3.16666666666667,5486.83333333333
183,2.75,8492,2.42857142857143,4793.14285714286,3.25,4549.5,2.25,5329,3.6,4330.2,2.5,6864.33333333333,1.28571428571429,3961.57142857143,2.66666666666667,3931.33333333333,3.2,5606.2
185,2,2479.66666666667,3.85714285714286,3974,4.6,3339.4,2.66666666666667,3248.22222222222,3.33333333333333,2988.66666666667,3.66666666666667,2108.33333333333,2.33333333333333,3053.33333333333,3.8,4767.2,3.42857142857143,1940
186,1.5,1538,2,6021.33333333333,2.83333333333333,36027.5,1.8,3997.2,2.42857142857143,153298.714285714,3.66666666666667,2219.33333333333,2.25,1316,1.4,1797.6,2.66666666666667,1777.5
187,1.75,7936.75,2.71428571428571,6691.28571428571,4.5,3987.25,2.4,12233.4,3.75,4773.75,3.16666666666667,8694.33333333333,1.16666666666667,5714,2.5,5199.5,2.8,6379.4
188,2,7168,3.85714285714286,6767.14285714286,2.5,6129.83333333333,2.5,7965.66666666667,3.33333333333333,6519.33333333333,4,7226.5,1.28571428571429,6381.42857142857,2.8,7340,4,4781
191,2.6,29273.2,3.5,18817.5,2.75,23275,1,10287.3333333333,3.6,39339.8,3.85714285714286,11014,1.71428571428571,10197,3.25,22736.25,4.5,4925.5
193,1.5,5287.875,3,5150.75,4,25164,3.5,11949.5,3.2,5389.4,2.75,5834.375,1,5254.8,2.33333333333333,11946.1666666667,4.25,5047.5
195,3.66666666666667,5057.66666666667,2.16666666666667,4043.33333333333,2.66666666666667,4503.33333333333,2.4,4961.8,3,5248.5,3.5,4333.5,1.75,4288.75,3.4,4105.8,4.5,3617.16666666667
197,1.33333333333333,8074.83333333333,2.66666666666667,18016.3333333333,4.66666666666667,7694.16666666667,1.33333333333333,12787.6666666667,3.5,6994.875,4,10613.25,2.33333333333333,12215.8333333333,2.75,8143.25,3.2,6214.4
